Iteration,CurrentTemperature,TotalHPWL
0,2.1744e+07,43414
1,2.06568e+07,43775
2,1.9624e+07,43374
3,1.86428e+07,43931
4,1.77106e+07,43654
5,1.68251e+07,43826
6,1.59838e+07,43833
7,1.51846e+07,43180
8,1.44254e+07,44088
9,1.37041e+07,43432
10,1.30189e+07,43856
11,1.2368e+07,44044
12,1.17496e+07,42931
13,1.11621e+07,42666
14,1.0604e+07,43248
15,1.00738e+07,44707
16,9.57011e+06,43678
17,9.09161e+06,44006
18,8.63703e+06,43906
19,8.20518e+06,42759
20,7.79492e+06,43154
21,7.40517e+06,43707
22,7.03491e+06,43228
23,6.68317e+06,43303
24,6.34901e+06,43747
25,6.03156e+06,43377
26,5.72998e+06,43944
27,5.44348e+06,43293
28,5.17131e+06,43289
29,4.91274e+06,43512
30,4.66711e+06,43423
31,4.43375e+06,43690
32,4.21206e+06,43290
33,4.00146e+06,43307
34,3.80139e+06,43746
35,3.61132e+06,43751
36,3.43075e+06,43921
37,3.25921e+06,43344
38,3.09625e+06,43467
39,2.94144e+06,43711
40,2.79437e+06,43866
41,2.65465e+06,44106
42,2.52192e+06,43967
43,2.39582e+06,43530
44,2.27603e+06,44140
45,2.16223e+06,43529
46,2.05412e+06,44152
47,1.95141e+06,43511
48,1.85384e+06,43631
49,1.76115e+06,44042
50,1.67309e+06,43226
51,1.58944e+06,43318
52,1.50997e+06,43160
53,1.43447e+06,43473
54,1.36274e+06,43415
55,1.29461e+06,43678
56,1.22988e+06,43707
57,1.16838e+06,43668
58,1.10996e+06,44163
59,1.05446e+06,43591
60,1.00174e+06,43893
61,951655,43585
62,904072,43696
63,858868,43724
64,815925,43475
65,775129,43944
66,736372,42918
67,699554,43938
68,664576,43193
69,631347,42876
70,599780,44384
71,569791,42919
72,541301,44389
73,514236,43033
74,488524,42881
75,464098,42883
76,440893,43470
77,418849,44731
78,397906,43743
79,378011,43427
80,359110,42750
81,341155,43007
82,324097,43684
83,307892,43335
84,292498,44104
85,277873,43828
86,263979,43723
87,250780,43227
88,238241,43027
89,226329,43584
90,215013,43964
91,204262,43325
92,194049,43470
93,184346,43308
94,175129,43997
95,166373,43635
96,158054,43752
97,150151,43908
98,142644,43857
99,135512,44005
100,128736,43797
101,122299,43859
102,116184,44317
103,110375,43111
104,104856,42738
105,99613.5,43318
106,94632.8,43915
107,89901.1,44366
108,85406.1,43487
109,81135.8,43998
110,77079,44088
111,73225,43282
112,69563.8,42732
113,66085.6,43842
114,62781.3,44351
115,59642.3,44042
116,56660.1,43238
117,53827.1,43448
118,51135.8,43842
119,48579,43659
120,46150,44117
121,43842.5,43739
122,41650.4,42807
123,39567.9,44938
124,37589.5,43923
125,35710,43956
126,33924.5,43618
127,32228.3,42755
128,30616.9,43203
129,29086,43981
130,27631.7,43443
131,26250.1,43704
132,24937.6,44103
133,23690.8,43525
134,22506.2,44026
135,21380.9,43371
136,20311.9,43279
137,19296.3,43921
138,18331.5,43166
139,17414.9,43592
140,16544.1,43617
141,15716.9,43030
142,14931.1,43312
143,14184.5,43763
144,13475.3,43553
145,12801.5,43520
146,12161.5,43905
147,11553.4,43371
148,10975.7,43514
149,10426.9,42731
150,9905.59,43940
151,9410.31,42781
152,8939.79,44036
153,8492.8,43841
154,8068.16,43664
155,7664.75,43266
156,7281.52,42729
157,6917.44,43524
158,6571.57,43673
159,6242.99,42495
160,5930.84,43756
161,5634.3,43093
162,5352.58,43481
163,5084.95,43303
164,4830.71,43614
165,4589.17,43775
166,4359.71,41939
167,4141.73,43362
168,3934.64,43202
169,3737.91,43616
170,3551.01,43830
171,3373.46,42950
172,3204.79,43678
173,3044.55,44232
174,2892.32,44053
175,2747.71,43499
176,2610.32,43259
177,2479.81,43279
178,2355.81,43261
179,2238.02,43426
180,2126.12,43396
181,2019.82,42967
182,1918.83,43811
183,1822.88,43402
184,1731.74,44627
185,1645.15,43314
186,1562.9,42968
187,1484.75,42897
188,1410.51,42936
189,1339.99,43521
190,1272.99,42930
191,1209.34,43783
192,1148.87,43316
193,1091.43,43501
194,1036.86,43295
195,985.014,43032
196,935.763,42225
197,888.975,43046
198,844.527,43108
199,802.3,43108
200,762.185,43689
201,724.076,43289
202,687.872,43000
203,653.479,43620
204,620.805,43539
205,589.764,43223
206,560.276,43042
207,532.262,43037
208,505.649,43165
209,480.367,43741
210,456.348,44263
211,433.531,43509
212,411.854,43463
213,391.262,43070
214,371.699,42383
215,353.114,43129
216,335.458,42669
217,318.685,43526
218,302.751,43043
219,287.613,42815
220,273.233,42856
221,259.571,42766
222,246.592,42685
223,234.263,42960
224,222.55,43308
225,211.422,42819
226,200.851,42064
227,190.809,42531
228,181.268,41826
229,172.205,42558
230,163.594,42495
231,155.415,41935
232,147.644,42359
233,140.262,40870
234,133.249,42192
235,126.586,41630
236,120.257,42337
237,114.244,41390
238,108.532,41646
239,103.105,41313
240,97.9501,41946
241,93.0526,41417
242,88.3999,40837
243,83.9799,40264
244,79.7809,41563
245,75.7919,41232
246,72.0023,40589
247,68.4022,39999
248,64.9821,40618
249,61.733,40315
250,58.6463,39825
251,55.714,40026
252,52.9283,39744
253,50.2819,39187
254,47.7678,38766
255,45.3794,38995
256,43.1104,37719
257,40.9549,39042
258,38.9072,38377
259,36.9618,38572
260,35.1137,37732
261,33.358,37454
262,31.6901,38082
263,30.1056,37584
264,28.6003,36029
265,27.1703,35881
266,25.8118,35609
267,24.5212,35532
268,23.2952,34799
269,22.1304,34619
270,21.0239,33911
271,19.9727,34362
272,18.9741,33959
273,18.0253,33161
274,17.1241,32061
275,16.2679,32825
276,15.4545,31123
277,14.6818,30634
278,13.9477,29564
279,13.2503,29420
280,12.5878,28210
281,11.9584,27890
282,11.3605,27458
283,10.7924,26960
284,10.2528,26610
285,9.74018,25641
286,9.25317,24953
287,8.79051,24624
288,8.35099,23470
289,7.93344,23221
290,7.53676,22636
291,7.15993,22312
292,6.80193,21948
293,6.46183,21353
294,6.13874,20778
295,5.83181,20720
296,5.54021,19870
297,5.2632,19400
298,5.00004,19236
299,4.75004,19086
300,4.51254,18777
301,4.28691,18338
302,4.07257,18065
303,3.86894,17887
304,3.67549,17493
305,3.49172,17189
306,3.31713,16950
307,3.15127,16663
308,2.99371,16395
309,2.84403,16036
310,2.70182,15909
311,2.56673,15616
312,2.4384,15533
313,2.31648,15290
314,2.20065,15125
315,2.09062,14982
316,1.98609,14695
317,1.88678,14475
318,1.79245,14252
319,1.70282,14120
320,1.61768,14035
321,1.5368,13919
322,1.45996,13799
323,1.38696,13691
324,1.31761,13550
325,1.25173,13404
326,1.18914,13411
327,1.12969,13253
328,1.0732,13189
329,1.01954,13108
330,0.968566,13038
331,0.920138,13131
332,0.874131,13021
333,0.830424,12885
334,0.788903,12845
335,0.749458,12774
336,0.711985,12682
337,0.676386,12593
338,0.642566,12643
339,0.610438,12666
340,0.579916,12549
341,0.55092,12443
342,0.523374,12400
343,0.497206,12381
344,0.472345,12377
345,0.448728,12426
346,0.426292,12411
347,0.404977,12538
348,0.384728,12393
349,0.365492,12315
350,0.347217,12232
351,0.329856,12244
352,0.313364,12178
353,0.297695,12111
354,0.282811,12070
355,0.26867,12026
356,0.255237,11985
357,0.242475,12199
358,0.230351,12140
359,0.218833,12082
360,0.207892,12035
361,0.197497,11999
362,0.187622,11976
363,0.178241,11940
364,0.169329,11893
365,0.160863,11849
366,0.15282,11817
367,0.145179,11786
368,0.13792,11762
369,0.131024,11740
370,0.124472,11708
371,0.118249,11686
372,0.112336,11726
373,0.10672,11773
374,0.101384,11868
375,0.0963144,11791
376,0.0914987,11812
377,0.0869238,11754
378,0.0825776,11702
379,0.0784487,11678
380,0.0745263,11703
381,0.0708,11772
382,0.06726,11812
383,0.063897,11786
384,0.0607021,11747
385,0.057667,11720
386,0.0547837,11681
387,0.0520445,11641
388,0.0494423,11698
389,0.0469701,11637
390,0.0446216,11682
391,0.0423906,11647
392,0.040271,11714
393,0.0382575,11787
394,0.0363446,11740
395,0.0345274,11678
396,0.032801,11648
397,0.031161,11768
398,0.0296029,11715
399,0.0281228,12125
400,0.0267166,11877
401,0.0253808,11919
402,0.0241118,11853
403,0.0229062,11788
404,0.0217609,11755
405,0.0206728,11747
406,0.0196392,11765
407,0.0186572,11710
408,0.0177244,11670
409,0.0168381,11633
410,0.0159962,11615
411,0.0151964,11587
412,0.0144366,11571
413,0.0137148,11569
414,0.013029,11544
415,0.0123776,11525
416,0.0117587,11503
417,0.0111708,11519
418,0.0106122,11554
419,0.0100816,11578
420,0.00957753,11546
421,0.00909866,11532
422,0.00864372,11509
423,0.00821154,11566
424,0.00780096,11541
425,0.00741091,11508
426,0.00704037,11486
427,0.00668835,11473
428,0.00635393,11713
429,0.00603623,11576
430,0.00573442,11558
431,0.0054477,11526
432,0.00517532,11491
433,0.00491655,11471
434,0.00467072,11515
435,0.00443719,11498
436,0.00421533,11485
437,0.00400456,11449
438,0.00380433,11444
439,0.00361412,11428
440,0.00343341,11412
441,0.00326174,11399
442,0.00309865,11390
443,0.00294372,11374
444,0.00279653,11363
445,0.00265671,11353
446,0.00252387,11400
447,0.00239768,11467
448,0.00227779,11483
449,0.00216391,11444
450,0.00205571,11428
451,0.00195292,11479
452,0.00185528,11483
453,0.00176251,11525
454,0.00167439,11472
455,0.00159067,11459
456,0.00151114,11512
457,0.00143558,11505
458,0.0013638,11491
459,0.00129561,11476
460,0.00123083,11527
461,0.00116929,11502
