Iteration,cooling factor,TotalHPWL
0,0.9,1074
1,0.85,1109
2,0.8,1112
3,0.75,1125
4,0.7,1103
5,0.65,1190
6,0.6,1229
7,0.55,1344
8,0.5,1330
9,0.45,1364
10,0.4,1324
11,0.35,1371
12,0.3,1482
13,0.25,1503
14,0.2,1555
15,0.15,1549
16,0.1,1538
17,0.05,1582
18,-3.19189e-16,1770
