Iteration,cooling factor,TotalHPWL
0,0.9,6987
1,0.85,6921
2,0.8,6706
3,0.75,6984
4,0.7,6868
5,0.65,6839
6,0.6,6881
7,0.55,6892
8,0.5,7065
9,0.45,6708
10,0.4,6873
11,0.35,6881
12,0.3,6817
13,0.25,6896
14,0.2,6888
15,0.15,7021
16,0.1,6694
17,0.05,6830
18,-3.19189e-16,7006
