Iteration,CurrentTemperature,TotalHPWL
313,2.45508,9666
314,2.33232,9577
315,2.21571,9385
316,2.10492,9284
317,1.99968,9167
318,1.89969,8961
319,1.80471,8842
320,1.71447,8783
321,1.62875,8743
322,1.54731,8703
323,1.46995,8462
324,1.39645,8393
325,1.32663,8288
326,1.26029,8192
327,1.19728,8069
328,1.13742,7933
329,1.08054,7860
330,1.02652,7863
331,0.975192,7763
332,0.926432,7657
333,0.880111,7641
334,0.836105,7602
335,0.7943,7529
336,0.754585,7438
337,0.716856,7381
338,0.681013,7300
339,0.646962,7270
340,0.614614,7196
341,0.583883,7163
342,0.554689,7148
343,0.526955,7140
344,0.500607,7075
345,0.475577,7039
346,0.451798,7027
347,0.429208,6972
348,0.407748,6990
349,0.38736,6927
350,0.367992,6879
351,0.349593,6826
352,0.332113,6779
353,0.315507,6731
354,0.299732,6686
355,0.284745,6657
356,0.270508,6628
357,0.256983,6606
358,0.244134,6581
359,0.231927,6553
360,0.22033,6642
361,0.209314,6578
362,0.198848,6545
363,0.188906,6498
364,0.179461,6497
365,0.170488,6521
366,0.161963,6580
367,0.153865,6531
368,0.146172,6486
369,0.138863,6477
370,0.13192,6441
371,0.125324,6456
372,0.119058,6406
373,0.113105,6340
374,0.10745,6321
375,0.102077,6302
376,0.0969733,6294
377,0.0921247,6343
378,0.0875184,6323
379,0.0831425,6284
380,0.0789854,6275
381,0.0750361,6304
382,0.0712843,6287
383,0.0677201,6335
384,0.0643341,6413
385,0.0611174,6399
386,0.0580615,6361
387,0.0551584,6351
388,0.0524005,6296
389,0.0497805,6266
390,0.0472915,6262
391,0.0449269,6242
392,0.0426805,6220
393,0.0405465,6207
394,0.0385192,6238
395,0.0365932,6311
396,0.0347636,6356
397,0.0330254,6423
398,0.0313741,6412
399,0.0298054,6436
400,0.0283151,6324
401,0.0268994,6299
402,0.0255544,6261
403,0.0242767,6313
404,0.0230629,6381
405,0.0219097,6366
406,0.0208142,6298
407,0.0197735,6260
408,0.0187848,6363
409,0.0178456,6305
410,0.0169533,6252
411,0.0161057,6285
412,0.0153004,6221
413,0.0145354,6194
414,0.0138086,6180
415,0.0131182,6173
416,0.0124623,6138
417,0.0118391,6185
418,0.0112472,6138
419,0.0106848,6119
420,0.0101506,6296
421,0.00964305,6199
422,0.0091609,6184
423,0.00870286,6146
424,0.00826771,6132
425,0.00785433,6112
426,0.00746161,6085
427,0.00708853,6075
428,0.0067341,6049
429,0.0063974,6042
430,0.00607753,6035
431,0.00577365,6023
432,0.00548497,6007
433,0.00521072,5987
434,0.00495018,5975
435,0.00470268,5961
436,0.00446754,5952
437,0.00424416,5927
438,0.00403196,5922
439,0.00383036,5909
440,0.00363884,5902
441,0.0034569,5908
442,0.00328405,5885
443,0.00311985,5990
444,0.00296386,5987
445,0.00281567,6007
446,0.00267488,5974
447,0.00254114,5957
448,0.00241408,5937
449,0.00229338,5911
450,0.00217871,5967
451,0.00206977,5997
452,0.00196628,5915
453,0.00186797,5895
454,0.00177457,5889
455,0.00168584,5983
456,0.00160155,5957
457,0.00152147,5918
458,0.0014454,6001
459,0.00137313,5932
460,0.00130447,5915
461,0.00123925,5909
462,0.00117729,5952
463,0.00111842,5914
464,0.0010625,5875
465,0.00100938,5949
466,0.000958908,5904
467,0.000910962,5873
468,0.000865414,5870
469,0.000822143,5849
470,0.000781036,5844
471,0.000741984,5824
472,0.000704885,5815
473,0.000669641,5812
474,0.000636159,5866
475,0.000604351,5916
476,0.000574133,5852
477,0.000545427,5871
478,0.000518155,5836
479,0.000492248,5819
480,0.000467635,5853
481,0.000444253,5816
482,0.000422041,5809
483,0.000400939,5928
484,0.000380892,5840
485,0.000361847,5920
486,0.000343755,5889
487,0.000326567,5892
488,0.000310239,5857
489,0.000294727,5828
