Iteration,cooling factor,TotalHPWL
0,0.9,11407
1,0.85,12090
2,0.8,12466
3,0.75,12658
4,0.7,12700
5,0.65,13964
6,0.6,13574
7,0.55,14515
8,0.5,15079
9,0.45,15475
10,0.4,15910
11,0.35,15938
12,0.3,16416
13,0.25,16486
14,0.2,17160
15,0.15,17435
16,0.1,17866
17,0.05,18101
18,-3.19189e-16,19136
