Iteration,cooling factor,TotalHPWL
0,0.9,4983
1,0.85,5486
2,0.8,6481
3,0.75,6519
4,0.7,7075
5,0.65,7593
6,0.6,7607
7,0.55,7839
8,0.5,8521
9,0.45,9782
10,0.4,9580
11,0.35,9967
12,0.3,10085
13,0.25,10509
14,0.2,10557
15,0.15,11871
16,0.1,11274
17,0.05,12265
18,-3.19189e-16,12791
