Iteration,cooling factor,TotalHPWL
0,0.9,904
1,0.85,931
2,0.8,936
3,0.75,1020
4,0.7,1043
5,0.65,1056
6,0.6,1023
7,0.55,1123
8,0.5,1131
9,0.45,1121
10,0.4,1117
11,0.35,1083
12,0.3,1174
13,0.25,1217
14,0.2,1208
15,0.15,1198
16,0.1,1291
17,0.05,1297
18,-3.19189e-16,1439
