Iteration,cooling factor,TotalHPWL
0,0.9,72
1,0.85,67
2,0.8,65
3,0.75,66
4,0.7,67
5,0.65,68
6,0.6,65
7,0.55,68
8,0.5,68
9,0.45,73
10,0.4,64
11,0.35,68
12,0.3,72
13,0.25,69
14,0.2,70
15,0.15,76
16,0.1,75
17,0.05,73
18,-3.19189e-16,82
