Iteration,cooling factor,TotalHPWL
0,0.9,45335
1,0.85,46960
2,0.8,45123
3,0.75,46605
4,0.7,45286
5,0.65,46209
6,0.6,46367
7,0.55,45898
8,0.5,45839
9,0.45,46551
10,0.4,46722
11,0.35,46870
12,0.3,45332
13,0.25,45800
14,0.2,46216
15,0.15,45213
16,0.1,45920
17,0.05,46189
18,-3.19189e-16,45524
