Iteration,CurrentTemperature,TotalHPWL
326,0.186351,2148
327,0.177033,2144
328,0.168182,2141
329,0.159772,2135
330,0.151784,2132
331,0.144195,2130
332,0.136985,2123
333,0.130136,2125
334,0.123629,2120
335,0.117447,2119
336,0.111575,2118
337,0.105996,2122
338,0.100697,2121
339,0.0956617,2115
340,0.0908786,2110
341,0.0863347,2109
342,0.0820179,2106
343,0.077917,2104
344,0.0740212,2113
345,0.0703201,2140
346,0.0668041,2117
347,0.0634639,2112
348,0.0602907,2138
349,0.0572762,2114
350,0.0544124,2111
351,0.0516918,2102
352,0.0491072,2100
353,0.0466518,2096
354,0.0443192,2089
355,0.0421033,2106
356,0.0399981,2098
357,0.0379982,2092
358,0.0360983,2084
359,0.0342934,2083
360,0.0325787,2081
361,0.0309498,2078
362,0.0294023,2073
363,0.0279322,2082
364,0.0265356,2081
365,0.0252088,2075
366,0.0239483,2071
367,0.0227509,2071
368,0.0216134,2065
369,0.0205327,2120
370,0.0195061,2102
371,0.0185308,2099
372,0.0176042,2115
373,0.016724,2098
374,0.0158878,2094
375,0.0150934,2092
376,0.0143388,2090
377,0.0136218,2086
378,0.0129407,2079
379,0.0122937,2075
380,0.011679,2070
381,0.0110951,2067
382,0.0105403,2067
383,0.0100133,2064
384,0.00951262,2075
385,0.00903699,2073
386,0.00858514,2071
387,0.00815589,2069
388,0.00774809,2068
389,0.00736069,2066
390,0.00699265,2081
391,0.00664302,2076
392,0.00631087,2076
393,0.00599533,2074
394,0.00569556,2071
395,0.00541078,2065
396,0.00514024,2097
397,0.00488323,2128
398,0.00463907,2116
399,0.00440711,2115
400,0.00418676,2110
401,0.00397742,2126
402,0.00377855,2121
403,0.00358962,2137
404,0.00341014,2120
405,0.00323963,2117
406,0.00307765,2111
407,0.00292377,2100
408,0.00277758,2095
409,0.0026387,2093
410,0.00250677,2086
411,0.00238143,2101
412,0.00226236,2093
413,0.00214924,2188
414,0.00204178,2122
415,0.00193969,2114
416,0.0018427,2123
417,0.00175057,2110
418,0.00166304,2108
419,0.00157989,2098
420,0.00150089,2092
421,0.00142585,2089
422,0.00135456,2082
423,0.00128683,2093
424,0.00122249,2087
425,0.00116136,2082
426,0.0011033,2080
427,0.00104813,2079
428,0.000995724,2076
429,0.000945938,2072
430,0.000898641,2072
431,0.000853709,2068
432,0.000811023,2067
433,0.000770472,2066
434,0.000731949,2065
435,0.000695351,2062
436,0.000660584,2062
437,0.000627554,2060
438,0.000596177,2056
439,0.000566368,2054
440,0.000538049,2054
441,0.000511147,2053
442,0.00048559,2049
443,0.00046131,2048
444,0.000438245,2046
445,0.000416332,2046
446,0.000395516,2043
447,0.00037574,2043
448,0.000356953,2042
449,0.000339105,2102
450,0.00032215,2092
451,0.000306043,2084
452,0.00029074,2075
453,0.000276203,2064
454,0.000262393,2057
455,0.000249274,2055
456,0.00023681,2053
457,0.000224969,2076
458,0.000213721,2064
459,0.000203035,2060
460,0.000192883,2056
461,0.000183239,2051
462,0.000174077,2050
463,0.000165373,2058
464,0.000157105,2051
465,0.000149249,2115
466,0.000141787,2091
467,0.000134697,2081
468,0.000127963,2081
469,0.000121564,2079
470,0.000115486,2075
471,0.000109712,2072
472,0.000104226,2064
